ACADEMIC_YEAR,SEMESTER,UNIV_TYPE_NAME,UNIV_MASTERNAME_TH,UNIV_NAME_TH,FAC_NAME,PROGRAM_NAME,LEV_NAME_ENG,GENDER_NAME,ALL STD
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,เทคโนโลยีเสื้อผ้า,ป.ตรี,ชาย,15
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,เทคโนโลยีเสื้อผ้า,ป.ตรี,หญิง,33
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,การพัฒนาผลิตภัณฑ์อาหาร,ป.ตรี,ชาย,8
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,การพัฒนาผลิตภัณฑ์อาหาร,ป.ตรี,หญิง,14
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,การออกแบบแฟชั่น,ป.ตรี,ชาย,22
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,การออกแบบแฟชั่น,ป.ตรี,หญิง,52
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,คหกรรมศาสตร์,ป.เอก,ชาย,6
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,คหกรรมศาสตร์,ป.โท,ชาย,4
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,คหกรรมศาสตร์,ป.เอก,หญิง,9
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,คหกรรมศาสตร์,ป.โท,หญิง,12
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,คหกรรมศาสตรศึกษา,ป.ตรี,หญิง,128
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,คหกรรมศาสตรศึกษา,ป.ตรี,ชาย,104
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,ธุรกิจอาหาร,ป.ตรี,ชาย,79
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,ธุรกิจอาหาร,ป.ตรี,หญิง,178
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,วิทยาศาสตร์และเทคโนโลยีการอาหาร,ป.ตรี,หญิง,36
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,วิทยาศาสตร์และเทคโนโลยีการอาหาร,ป.ตรี,ชาย,10
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,อาหารและโภชนาการ,ป.ตรี,หญิง,367
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,อาหารและโภชนาการ,ป.ตรี,ชาย,204
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,อาหารและการพัฒนาผลิตภัณฑ์,ป.ตรี,หญิง,20
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะเทคโนโลยีคหกรรมศาสตร์,อาหารและการพัฒนาผลิตภัณฑ์,ป.ตรี,ชาย,11
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะครุศาสตร์อุตสาหกรรม,เทคโนโลยียานยนต์,ป.ตรี,ชาย,61
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะครุศาสตร์อุตสาหกรรม,เทคโนโลยียานยนต์,ป.ตรี,หญิง,4
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะครุศาสตร์อุตสาหกรรม,เทคโนโลยีวิศวกรรมอุตสาหการสมัยใหม่,ป.ตรี,ชาย,92
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะครุศาสตร์อุตสาหกรรม,เทคโนโลยีวิศวกรรมอุตสาหการสมัยใหม่,ป.ตรี,หญิง,15
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะครุศาสตร์อุตสาหกรรม,เทคโนโลยีอุตสาหการ,ป.ตรี,หญิง,1
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะครุศาสตร์อุตสาหกรรม,เทคโนโลยีอุตสาหการ,ป.ตรี,ชาย,7
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะครุศาสตร์อุตสาหกรรม,การวิจัยและพัฒนาการสอนเทคนิคศึกษา,ป.โท,ชาย,1
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะครุศาสตร์อุตสาหกรรม,การวิจัยและพัฒนาการสอนเทคนิคศึกษา,ป.โท,หญิง,3
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะครุศาสตร์อุตสาหกรรม,วิศวกรรมเครื่องกล,ป.ตรี,หญิง,16
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะครุศาสตร์อุตสาหกรรม,วิศวกรรมเครื่องกล,ป.ตรี,ชาย,68
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะครุศาสตร์อุตสาหกรรม,วิศวกรรมอุตสาหการ,ป.ตรี,ชาย,33
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะครุศาสตร์อุตสาหกรรม,วิศวกรรมอุตสาหการ,ป.ตรี,หญิง,15
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะบริหารธุรกิจ,เทคโนโลยีสารสนเทศทางธุรกิจ,ป.ตรี,ชาย,259
2567,1,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะบริหารธุรกิจ,เทคโนโลยีสารสนเทศทางธุรกิจ,ป.ตรี,หญิง,136
